id,date,color
110,12/28/1950,Teal
111,1/28/2014,Maroon
112,5/5/1976,Violet
113,6/19/2008,Fuscia
114,3/31/1961,Indigo
115,3/24/1976,Purple
116,10/29/1963,Maroon
117,11/6/1984,Crimson
118,5/28/1961,Green
119,3/13/2017,Fuscia
120,2/23/2008,Turquoise
121,6/20/2014,Violet
122,3/23/1986,Green
123,12/21/1974,Turquoise
124,1/11/1970,Khaki
125,7/5/1992,Orange
126,8/24/1994,Yellow
127,12/23/1959,Red
128,2/8/1992,Maroon
129,10/7/2004,Violet
130,4/22/1999,Crimson
131,2/2/2003,Purple
132,6/17/2013,Khaki
133,12/25/1993,Violet
134,9/25/2014,Indigo
135,8/13/1974,Violet
136,2/15/2010,Green
137,12/14/1994,Purple
138,7/18/2018,Blue
139,8/22/1980,Red
140,4/4/1951,Maroon
141,12/13/1975,Turquoise
142,10/3/2012,Aquamarine
143,11/29/1988,Teal
144,1/12/2011,Yellow
145,3/8/2018,Aquamarine
146,3/24/1966,Crimson
147,10/16/1975,Goldenrod
148,10/29/2021,Fuscia
149,12/30/2005,Indigo
150,9/8/1956,Yellow
151,5/31/1956,Aquamarine
152,10/8/1958,Indigo
153,5/4/2023,Khaki
154,8/10/1998,Fuscia
155,9/14/1968,Yellow
156,12/14/1997,Indigo
157,11/8/1964,Turquoise
158,2/29/1980,Turquoise
159,2/3/1971,Red
160,8/28/1991,Red
161,1/27/1976,Yellow
162,5/29/2002,Mauv
163,12/22/2011,Puce
164,7/8/1963,Khaki
165,4/19/1995,Violet
166,12/24/2016,Green
167,10/14/1985,Aquamarine
168,11/24/1957,Violet
169,5/18/2014,Fuscia
170,10/23/1976,Teal
171,11/12/2019,Goldenrod
172,11/28/1982,Mauv
173,1/30/1956,Orange
174,1/16/1963,Red
175,3/7/2008,Teal
176,2/9/1963,Yellow
177,6/11/1996,Puce
178,12/21/1998,Aquamarine
179,1/31/2001,Turquoise
180,12/30/2020,Khaki
181,2/16/1991,Aquamarine
182,6/3/1994,Puce
183,8/19/1982,Indigo
184,5/15/2017,Khaki
185,10/17/2008,Green
186,2/10/1989,Blue
187,8/10/1998,Green
188,10/29/2019,Puce
189,2/18/1951,Indigo
190,11/29/1975,Red
191,4/13/1958,Puce
192,8/17/1958,Pink
193,2/18/2010,Fuscia
194,10/12/2017,Mauv
195,5/8/1989,Fuscia
196,12/1/2013,Puce
197,1/5/1994,Crimson
198,3/15/1965,Green
199,11/6/2006,Turquoise
200,9/4/1981,Pink
201,9/13/2016,Mauv
202,10/11/1977,Blue
203,9/25/1956,Crimson
204,8/1/1995,Goldenrod
205,5/24/1961,Indigo
206,4/28/1997,Blue
207,12/19/1975,Orange
208,11/16/1963,Khaki
209,3/6/1964,Teal
210,6/23/1951,Fuscia
211,12/22/1957,Goldenrod
212,7/3/2009,Orange
213,12/17/1963,Green
214,7/17/1991,Goldenrod
215,1/1/2004,Pink
216,10/5/1987,Violet
217,12/3/1975,Violet
218,12/15/1997,Green
219,12/25/1971,Pink
220,7/21/1954,Purple
221,2/3/1991,Indigo
222,5/13/1967,Purple
223,10/12/2013,Crimson
224,9/16/1958,Violet
225,2/20/2005,Blue
226,7/2/1970,Goldenrod
227,11/16/1956,Violet
228,2/18/1992,Red
229,7/26/1965,Khaki
230,1/11/1999,Mauv
231,12/7/1973,Maroon
232,3/12/1974,Mauv
233,12/11/1992,Goldenrod
234,2/7/1962,Violet
235,9/24/2015,Violet
236,2/19/2021,Red
237,5/21/2004,Orange
238,6/21/1954,Aquamarine
239,9/30/1966,Purple
240,8/2/1991,Pink
241,7/15/2010,Puce
242,1/11/1984,Violet
243,2/9/2013,Red
244,4/4/1954,Crimson
245,5/30/1992,Fuscia
246,10/15/1984,Maroon
247,7/26/2014,Aquamarine
248,2/26/2006,Maroon
249,12/18/1958,Puce
250,6/3/2014,Purple
251,7/28/2006,Maroon
252,3/29/1987,Blue
253,8/15/2001,Green
254,12/6/2004,Purple
255,4/2/1982,Red
256,3/20/1994,Orange
257,6/6/2017,Khaki
258,7/22/1964,Maroon
259,8/16/1969,Purple
260,5/5/1982,Purple
261,6/14/1997,Blue
262,10/28/1950,Maroon
263,5/3/1990,Maroon
264,3/25/1983,Crimson
265,7/20/1978,Mauv
266,3/14/2020,Khaki
267,10/8/2008,Khaki
268,5/4/2012,Purple
269,6/7/1960,Orange
270,10/13/1984,Aquamarine
271,7/4/2013,Violet
272,4/23/2005,Violet
273,6/6/1965,Red
274,2/4/1998,Purple
275,9/7/2021,Teal
276,12/24/2001,Crimson
277,3/20/1955,Orange
278,12/3/1965,Red
279,12/15/1988,Goldenrod
280,6/10/2023,Puce
281,7/23/1988,Puce
282,10/19/1993,Pink
283,3/18/2000,Blue
284,2/9/2022,Yellow
285,2/17/1972,Indigo
286,8/28/1972,Crimson
287,10/2/1984,Khaki
288,10/11/2001,Crimson
289,1/10/1983,Aquamarine
290,11/26/2004,Mauv
291,12/21/1978,Aquamarine
292,3/5/1994,Green
293,7/14/2005,Red
294,10/1/2004,Crimson
295,5/10/2004,Mauv
296,11/21/1963,Pink
297,9/15/1963,Teal
298,3/11/2022,Teal
299,2/16/1992,Purple
300,7/31/1962,Aquamarine
301,10/25/2015,Green
302,7/20/1978,Pink
303,5/10/1978,Crimson
304,8/16/1975,Turquoise
305,4/28/2004,Purple
306,12/3/1976,Crimson
307,8/9/1978,Orange
308,10/17/2008,Puce
309,7/19/1985,Turquoise
310,1/13/1960,Purple
311,1/20/1969,Orange
312,5/26/2014,Fuscia
313,2/1/1989,Aquamarine
314,2/15/2005,Teal
315,1/17/1956,Yellow
316,3/30/1992,Mauv
317,7/20/2018,Red
318,6/19/1972,Goldenrod
319,8/12/1971,Violet
320,8/21/2015,Turquoise
321,3/8/2000,Yellow
322,2/6/1990,Crimson
323,9/5/1956,Teal
324,9/24/1963,Orange
325,9/5/2023,Blue
326,10/11/2020,Maroon
327,7/18/2022,Orange
328,6/12/1994,Goldenrod
329,9/1/2011,Indigo
330,8/27/1986,Khaki
331,2/13/2003,Goldenrod
332,6/27/1964,Fuscia
333,12/20/1960,Indigo
334,12/5/1959,Teal
335,10/11/2014,Fuscia
336,10/6/1998,Mauv
337,12/19/1994,Fuscia
338,4/29/1992,Yellow
339,12/19/1960,Puce
340,12/14/1962,Red
341,7/3/2020,Crimson
342,5/6/2011,Purple
343,7/23/2001,Pink
344,3/14/1995,Green
345,2/24/1990,Fuscia
346,8/11/1968,Goldenrod
347,1/24/1977,Khaki
348,1/14/1951,Puce
349,12/22/1992,Khaki
350,5/7/1950,Violet
351,12/15/2001,Aquamarine
352,3/21/1968,Fuscia
353,5/15/2018,Turquoise
354,12/24/1991,Purple
355,5/26/1958,Blue
356,8/21/1973,Turquoise
357,8/23/1984,Turquoise
358,8/24/1966,Aquamarine
359,8/5/1984,Blue
360,8/24/2019,Blue
361,2/23/2015,Crimson
362,12/18/1957,Green
363,2/16/2000,Crimson
364,3/21/2014,Crimson
365,1/24/1993,Turquoise
366,5/19/1953,Goldenrod
367,11/10/1993,Red
368,9/2/1951,Teal
369,4/19/1961,Aquamarine
370,9/6/1969,Green
371,8/28/1952,Blue
372,7/3/1957,Indigo
373,5/27/2014,Puce
374,10/27/2020,Goldenrod
375,10/27/1980,Green
376,8/31/1980,Turquoise
377,5/12/2007,Goldenrod
378,1/14/2014,Yellow
379,11/24/1980,Teal
380,12/27/1975,Purple
381,7/22/2000,Indigo
382,7/5/1994,Violet
383,8/16/1967,Violet
384,10/17/1995,Aquamarine
385,3/7/2004,Teal
386,1/26/2014,Mauv
387,3/10/1998,Teal
388,10/5/1995,Fuscia
389,1/26/2015,Red
390,9/1/1982,Purple
391,3/31/2023,Yellow
392,3/12/1972,Pink
393,7/18/2016,Aquamarine
394,6/30/2005,Indigo
395,4/10/1956,Blue
396,10/12/1953,Red
397,2/4/1999,Pink
398,11/29/1969,Goldenrod
399,5/29/1964,Orange
400,4/26/1981,Indigo
401,3/22/1955,Orange
402,1/23/1977,Khaki
403,3/24/1962,Yellow
404,2/1/1997,Fuscia
405,10/27/2006,Blue
406,6/13/2009,Orange
407,11/16/2013,Orange
408,8/7/1987,Green
409,9/25/2015,Crimson
410,8/30/2000,Puce
411,8/25/2006,Mauv
412,7/7/2015,Turquoise
413,12/11/2004,Aquamarine
414,12/30/1952,Khaki
415,3/12/2005,Crimson
416,6/17/1967,Violet
417,12/20/1959,Yellow
418,1/18/1999,Mauv
419,7/9/2003,Pink
420,6/8/2003,Fuscia
421,12/9/2006,Purple
422,5/7/2018,Indigo
423,4/4/1995,Violet
424,8/17/2022,Red
425,9/10/2002,Aquamarine
426,10/11/1977,Fuscia
427,3/8/1965,Puce
428,5/12/1975,Crimson
429,5/5/2003,Mauv
430,2/12/1968,Blue
431,1/29/2015,Green
432,12/20/1967,Puce
433,3/22/1983,Yellow
434,10/30/1952,Khaki
435,6/2/1967,Red
436,9/25/1977,Turquoise
437,3/16/2016,Pink
438,6/26/2001,Violet
439,5/21/2011,Puce
440,2/5/2011,Pink
441,12/25/1993,Indigo
442,5/30/2013,Teal
443,10/6/2021,Purple
444,2/11/1951,Violet
445,12/28/1964,Puce
446,11/2/1986,Yellow
447,6/12/1953,Puce
448,5/24/1971,Pink
449,1/31/1997,Mauv
450,4/27/1994,Blue
451,7/2/1950,Pink
452,5/18/1980,Pink
453,7/28/1994,Red
454,12/12/1990,Green
455,11/11/1968,Pink
456,3/15/2000,Green
457,3/2/1957,Aquamarine
458,7/28/2021,Turquoise
459,5/25/1972,Mauv
460,8/11/1969,Orange
461,10/24/1979,Green
462,6/19/1955,Goldenrod
463,3/26/2010,Violet
464,2/21/1983,Indigo
465,1/25/2014,Maroon
466,9/1/1971,Mauv
467,6/6/1989,Maroon
468,7/24/2007,Indigo
469,6/20/1952,Khaki
470,11/1/2001,Teal
471,10/27/1958,Pink
472,5/15/2005,Green
473,4/18/1963,Maroon
474,7/15/1965,Mauv
475,11/10/2003,Crimson
476,6/28/1972,Yellow
477,8/29/2012,Teal
478,1/14/1993,Green
479,5/13/1960,Teal
480,10/11/2008,Khaki
481,11/23/1979,Khaki
482,7/11/2002,Yellow
483,8/9/2008,Puce
484,12/29/2010,Red
485,4/4/1996,Teal
486,5/6/1970,Red
487,10/12/1995,Yellow
488,8/29/1970,Indigo
489,2/16/2007,Indigo
490,8/6/1968,Green
491,4/12/1975,Aquamarine
492,1/26/2014,Purple
493,3/26/2010,Crimson
494,1/13/1952,Pink
495,1/24/1968,Indigo
496,1/25/1978,Khaki
497,4/9/1952,Green
498,2/4/1999,Purple
499,5/4/2022,Pink
500,1/7/2012,Mauv
501,5/25/1985,Orange
502,2/26/2015,Pink
503,8/18/1951,Orange
504,8/17/2015,Mauv
505,1/9/2014,Crimson
506,4/1/1990,Puce
507,6/22/1994,Teal
508,9/1/2002,Red
509,2/18/1968,Maroon
510,5/7/1994,Indigo
511,9/30/1990,Red
512,1/26/2023,Indigo
513,11/24/1997,Aquamarine
514,11/17/1977,Purple
515,7/25/1990,Yellow
516,9/1/1987,Maroon
517,4/4/1977,Pink
518,5/18/1965,Goldenrod
519,7/3/1994,Mauv
520,9/24/1983,Teal
521,3/25/1966,Khaki
522,7/26/1958,Maroon
523,11/1/1981,Yellow
524,12/6/1973,Teal
525,3/28/2011,Teal
526,6/17/1993,Maroon
527,4/11/2021,Green
528,12/19/1950,Blue
529,10/11/1989,Aquamarine
530,1/30/1981,Khaki
531,3/31/1988,Blue
532,8/8/1978,Green
533,8/19/2011,Maroon
534,7/19/1981,Goldenrod
535,3/17/1963,Mauv
536,10/3/2022,Maroon
537,2/26/2003,Khaki
538,6/16/1988,Fuscia
539,10/26/1989,Puce
540,6/12/1950,Violet
541,6/11/1989,Khaki
542,12/7/2000,Red
543,11/23/1992,Khaki
544,10/16/1965,Mauv
545,11/16/2017,Teal
546,12/6/1965,Indigo
547,7/26/1976,Blue
548,12/30/1992,Red
549,9/25/1958,Indigo
550,9/22/1966,Crimson
551,8/12/1982,Crimson
552,6/11/1955,Mauv
553,12/28/1968,Crimson
554,6/23/1975,Turquoise
555,8/17/1973,Orange
556,1/7/1963,Mauv
557,7/2/1956,Green
558,10/9/1950,Purple
559,8/15/2006,Crimson
560,1/3/1965,Goldenrod
561,5/26/1989,Aquamarine
562,11/23/1981,Purple
563,2/23/1982,Fuscia
564,12/25/2012,Yellow
565,4/29/1951,Aquamarine
566,10/13/2017,Purple
567,1/8/2002,Yellow
568,11/11/2012,Turquoise
569,10/29/1988,Orange
570,7/15/1950,Red
571,2/4/1954,Pink
572,3/5/1995,Mauv
573,6/5/2007,Indigo
574,5/15/2010,Mauv
575,10/4/1996,Pink
576,7/10/2000,Violet
577,7/11/2012,Purple
578,10/15/1968,Orange
579,9/16/1960,Fuscia
580,12/12/1985,Green
581,1/26/1998,Teal
582,2/11/2019,Turquoise
583,3/24/1971,Maroon
584,10/8/1966,Purple
585,6/7/2020,Pink
586,5/29/1959,Green
587,11/6/2004,Violet
588,4/24/2012,Purple
589,12/3/1981,Aquamarine
590,4/14/1982,Violet
591,12/22/1994,Green
592,10/28/2016,Aquamarine
593,1/2/1984,Red
594,2/10/2006,Maroon
595,3/6/1967,Purple
596,11/14/1991,Mauv
597,9/4/2007,Khaki
598,9/2/1986,Crimson
599,4/18/2002,Blue
600,1/14/1994,Green
601,4/4/2010,Purple
602,1/22/1963,Puce
603,10/28/2012,Purple
604,8/16/1974,Red
605,4/14/1969,Fuscia
606,3/24/1994,Puce
607,1/18/2010,Fuscia
608,6/19/1975,Khaki
609,1/20/2015,Crimson
610,11/22/2015,Red
611,2/5/1996,Goldenrod
612,2/3/2022,Teal
613,8/11/1983,Goldenrod
614,9/5/2014,Red
615,4/14/2001,Crimson
616,6/16/1951,Mauv
617,10/12/1975,Khaki
618,1/17/1993,Crimson
619,10/15/1990,Aquamarine
620,11/11/1956,Green
621,3/25/2019,Teal
622,4/6/1999,Red
623,1/9/2014,Crimson
624,2/2/1989,Blue
625,12/21/2022,Goldenrod
626,8/20/1975,Yellow
627,4/10/2020,Fuscia
628,2/15/1988,Goldenrod
629,10/29/1957,Khaki
630,3/19/1972,Yellow
631,12/20/2012,Orange
632,1/6/1999,Aquamarine
633,11/17/2001,Maroon
634,6/14/2011,Fuscia
635,10/28/2012,Crimson
636,1/11/1992,Purple
637,5/16/2009,Turquoise
638,12/30/1962,Turquoise
639,2/14/1988,Red
640,4/7/1957,Purple
641,2/20/1969,Green
642,12/1/1986,Violet
643,1/22/2012,Fuscia
644,4/19/1965,Puce
645,12/24/1994,Maroon
646,6/12/1988,Yellow
647,10/23/1985,Yellow
648,2/5/1952,Violet
649,8/14/1966,Fuscia
650,12/28/1987,Purple
651,11/27/2018,Puce
652,8/22/1985,Indigo
653,1/8/2012,Orange
654,2/16/1987,Maroon
655,11/15/2017,Pink
656,1/28/2006,Indigo
657,8/11/2023,Mauv
658,10/12/2009,Indigo
659,5/11/1980,Puce
660,6/18/1969,Puce
661,7/8/2014,Yellow
662,6/30/1987,Maroon
663,1/21/1988,Teal
664,12/21/1980,Fuscia
665,9/6/2019,Teal
666,2/18/1984,Blue
667,7/8/1962,Blue
668,10/31/1965,Fuscia
669,4/5/2007,Violet
670,6/13/1965,Fuscia
671,9/17/1996,Crimson
672,6/19/1971,Maroon
673,10/1/1966,Khaki
674,1/22/2020,Blue
675,11/14/1958,Yellow
676,7/21/2021,Khaki
677,6/13/1994,Fuscia
678,8/24/1962,Fuscia
679,6/13/1954,Mauv
680,5/1/1991,Maroon
681,3/27/2002,Red
682,2/7/1954,Aquamarine
683,5/14/1976,Indigo
684,7/5/1957,Crimson
685,10/3/1993,Blue
686,1/26/1991,Mauv
687,6/26/2001,Purple
688,5/14/1993,Blue
689,1/10/2019,Yellow
690,1/10/2017,Khaki
691,8/30/1950,Pink
692,6/11/1984,Indigo
693,5/3/1969,Fuscia
694,7/21/1959,Mauv
695,2/2/1987,Violet
696,12/24/1970,Orange
697,12/3/1967,Puce
698,4/14/1968,Purple
699,12/22/1989,Blue
700,2/13/2021,Fuscia
701,12/28/1953,Yellow
702,1/16/1970,Blue
703,3/12/1956,Pink
704,1/18/1953,Maroon
705,12/24/1987,Goldenrod
706,9/18/2008,Blue
707,11/16/1980,Pink
708,1/14/1993,Red
709,12/7/2014,Turquoise
710,12/17/1995,Pink
711,7/1/2018,Goldenrod
712,11/26/1961,Puce
713,5/14/2005,Puce
714,7/31/1990,Mauv
715,4/21/1969,Purple
716,3/22/2021,Puce
717,9/10/1972,Fuscia
718,9/29/2021,Yellow
719,6/20/2019,Khaki
720,4/23/1963,Maroon
721,2/23/1999,Violet
722,8/4/1972,Mauv
723,5/31/1993,Aquamarine
724,12/18/2011,Turquoise
725,10/28/1950,Yellow
726,1/25/1979,Pink
727,10/8/2003,Green
728,3/11/1973,Puce
729,6/10/1950,Pink
730,10/28/1956,Maroon
731,4/11/1951,Orange
732,8/23/1980,Puce
733,7/17/2019,Fuscia
734,10/6/1972,Red
735,5/16/1969,Maroon
736,11/14/2015,Goldenrod
737,2/6/2011,Yellow
738,3/31/1979,Violet
739,8/12/1985,Orange
740,6/22/2007,Pink
741,8/14/1955,Puce
742,8/29/1964,Red
743,4/17/1989,Puce
744,8/6/1986,Maroon
745,1/18/1992,Pink
746,4/19/1971,Blue
747,5/7/2011,Red
748,3/29/1995,Khaki
749,1/10/1962,Orange
750,10/22/1976,Indigo
751,7/3/2007,Violet
752,1/6/1997,Goldenrod
753,11/27/1997,Mauv
754,8/14/2015,Goldenrod
755,2/3/2011,Indigo
756,9/26/1960,Crimson
757,9/9/1987,Maroon
758,5/11/1996,Orange
759,4/12/1961,Blue
760,4/25/2003,Fuscia
761,7/21/1968,Pink
762,5/14/1988,Crimson
763,11/14/2018,Red
764,6/17/1967,Yellow
765,2/15/2013,Puce
766,5/22/1960,Turquoise
767,4/24/1956,Fuscia
768,2/3/1990,Violet
769,9/22/1960,Teal
770,4/20/2015,Fuscia
771,7/23/1974,Yellow
772,9/5/1975,Orange
773,8/31/1970,Crimson
774,8/13/1971,Violet
775,4/13/2004,Khaki
776,10/19/1956,Puce
777,10/9/1976,Violet
778,9/10/2017,Aquamarine
779,12/28/2017,Pink
780,3/15/1959,Puce
781,6/13/1999,Violet
782,4/5/1999,Goldenrod
783,6/2/2017,Crimson
784,6/29/1991,Teal
785,11/25/2017,Purple
786,3/12/1992,Teal
787,8/6/1977,Mauv
788,4/28/1984,Khaki
789,6/15/2021,Teal
790,11/9/1956,Khaki
791,9/8/1968,Aquamarine
792,8/17/1989,Violet
793,2/27/1979,Orange
794,2/19/1971,Green
795,2/9/1988,Orange
796,10/1/1956,Aquamarine
797,9/17/2005,Maroon
798,12/20/2013,Puce
799,9/26/1983,Violet
800,8/28/2000,Purple
801,12/12/1970,Turquoise
802,1/8/2020,Maroon
803,5/18/1970,Green
804,3/4/1998,Blue
805,2/1/2002,Red
806,11/22/1965,Yellow
807,10/14/1985,Khaki
808,12/10/1997,Pink
809,8/29/1985,Teal
810,10/17/2006,Yellow
811,9/6/2015,Teal
812,1/18/1996,Mauv
813,8/11/1978,Orange
814,4/30/1987,Indigo
815,5/21/1983,Crimson
816,10/18/1973,Red
817,10/11/1962,Purple
818,10/22/2010,Teal
819,12/18/2004,Aquamarine
820,10/25/1959,Fuscia
821,1/30/1984,Purple
822,9/20/1990,Blue
823,9/8/1955,Aquamarine
824,9/16/1979,Goldenrod
825,1/18/2001,Crimson
826,1/23/1975,Blue
827,3/17/1992,Pink
828,8/23/2010,Violet
829,2/7/1994,Maroon
830,11/14/2016,Indigo
831,4/14/1997,Khaki
832,8/16/2016,Green
833,11/8/1980,Crimson
834,7/19/1963,Maroon
835,6/26/1957,Red
836,1/4/2001,Mauv
837,8/21/1953,Violet
838,7/29/1958,Purple
839,8/15/2015,Mauv
840,10/15/1971,Teal
841,9/11/2001,Turquoise
842,3/13/2015,Khaki
843,11/10/2012,Purple
844,10/10/1961,Pink
845,3/1/1985,Purple
846,4/9/2012,Aquamarine
847,12/21/1966,Aquamarine
848,1/4/1985,Goldenrod
849,1/19/1952,Green
850,11/28/1986,Purple
851,7/31/1988,Puce
852,12/4/2017,Pink
853,2/15/1982,Puce
854,7/25/2009,Pink
855,1/10/2004,Maroon
856,6/15/1975,Mauv
857,2/15/1985,Maroon
858,10/29/1989,Aquamarine
859,11/25/1988,Violet
860,9/18/1973,Orange
861,10/9/1955,Pink
862,6/15/1958,Purple
863,6/12/1961,Green
864,3/2/2016,Yellow
865,1/13/2021,Orange
866,11/5/2001,Puce
867,5/31/2015,Crimson
868,7/31/1993,Khaki
869,12/10/2010,Puce
870,4/19/1996,Green
871,12/8/1985,Pink
872,11/29/1986,Aquamarine
873,1/19/1971,Red
874,7/13/1954,Fuscia
875,9/30/1995,Indigo
876,5/18/1972,Turquoise
877,3/14/1954,Orange
878,2/18/2017,Teal
879,2/12/1967,Mauv
880,8/6/1962,Maroon
881,9/27/1996,Maroon
882,3/31/2017,Mauv
883,5/12/2023,Purple
884,1/30/1984,Purple
885,11/28/1962,Goldenrod
886,9/25/2011,Mauv
887,4/13/2008,Purple
888,9/15/1959,Green
889,1/29/1997,Red
890,1/31/1955,Indigo
891,1/14/1996,Khaki
892,8/15/2016,Pink
893,1/19/1961,Yellow
894,12/1/1989,Red
895,11/21/1961,Pink
896,7/11/1987,Goldenrod
897,7/12/2021,Fuscia
898,7/28/2020,Maroon
899,10/11/1978,Fuscia
900,9/12/1956,Maroon
901,7/11/1992,Mauv
902,7/7/2007,Khaki
903,10/2/1950,Fuscia
904,9/2/1954,Maroon
905,4/23/2019,Blue
906,3/25/1957,Green
907,4/13/2013,Goldenrod
908,5/25/2004,Khaki
909,12/18/1977,Khaki
910,2/23/1974,Pink
911,9/15/1965,Green
912,1/21/1992,Teal
913,2/11/1954,Pink
914,3/7/1974,Crimson
915,5/5/1956,Green
916,4/19/1962,Red
917,9/29/1991,Khaki
918,7/16/2006,Turquoise
919,9/10/1971,Turquoise
920,11/20/2012,Crimson
921,12/18/2022,Orange
922,3/16/1953,Maroon
923,12/2/2001,Goldenrod
924,4/10/2010,Aquamarine
925,3/6/1950,Green
926,7/13/1999,Goldenrod
927,6/18/1982,Crimson
928,3/18/1987,Violet
929,3/24/1952,Fuscia
930,9/27/2003,Purple
931,5/15/1991,Purple
932,6/18/1984,Pink
933,8/26/1982,Mauv
934,10/27/1975,Green
935,6/13/2007,Green
936,11/2/2013,Puce
937,1/27/1952,Red
938,8/6/1996,Violet
939,11/16/1993,Red
940,3/29/1973,Puce
941,10/30/1972,Turquoise
942,8/3/1968,Purple
943,5/31/2017,Teal
944,10/15/1995,Fuscia
945,5/22/2008,Orange
946,9/17/1989,Maroon
947,1/16/1985,Red
948,6/17/1967,Maroon
949,3/17/1974,Blue
950,5/10/1964,Violet
951,10/8/2007,Maroon
952,3/17/2004,Mauv
953,6/8/2020,Yellow
954,7/7/1954,Turquoise
955,7/1/1998,Khaki
956,12/21/1951,Green
957,3/20/1957,Khaki
958,3/21/2023,Turquoise
959,6/6/1989,Fuscia
960,4/4/2000,Goldenrod
961,6/11/1965,Violet
962,11/18/1966,Red
963,1/2/2009,Indigo
964,7/30/2013,Purple
965,2/10/2004,Puce
966,2/17/1957,Green
967,10/23/1988,Goldenrod
968,3/20/2022,Indigo
969,3/25/1993,Yellow
970,4/2/1959,Khaki
971,11/5/2017,Teal
972,9/7/1997,Khaki
973,11/27/1981,Purple
974,2/11/1958,Crimson
975,8/6/1994,Aquamarine
976,11/16/1981,Aquamarine
977,1/18/1987,Indigo
978,1/19/1958,Fuscia
979,10/29/2006,Orange
980,12/30/1977,Puce
981,6/29/1994,Turquoise
982,2/28/1950,Fuscia
983,11/12/2003,Goldenrod
984,2/21/2023,Pink
985,1/26/2005,Indigo
986,7/29/2009,Maroon
987,12/3/1971,Aquamarine
988,5/30/2013,Yellow
989,7/5/1956,Green
990,11/22/1998,Crimson
991,3/25/2018,Khaki
992,11/7/1954,Orange
993,6/1/2007,Pink
994,3/17/1981,Turquoise
995,11/22/1976,Maroon
996,4/27/1995,Blue
997,7/7/1968,Indigo
998,11/19/1965,Puce
999,5/28/1987,Pink
1000,1/21/1992,Indigo
